match	samerace	age_o	attr_o	sinc_o	intel_o	fun_o	amb_o	shar_o
0	0	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	1	1	1	1	0	0	0	0
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	1	1	1	1	1	1	1	1
1	1	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
1	0	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
1	0	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
1	1	0	1	1	1	1	1	1
0	0	0	1	1	0	1	0	0
0	0	0	0	1	0	1	0	0
1	0	0	1	1	1	1	1	1
1	0	0	1	1	1	1	1	1
1	0	0	1	1	1	1	1	1
1	0	0	1	1	1	1	1	1
1	0	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
0	0	0	1	1	0	1	0	0
0	0	1	1	1	1	1	1	1
0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	1	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
0	1	0	1	1	0	1	0	0
1	1	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
1	1	0	1	1	1	1	1	1
1	0	0	1	1	1	1	1	1
1	1	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
1	1	0	1	1	1	1	1	1
1	1	0	0	1	1	1	1	1
1	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1
0	1	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1
0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	1	1	1	1	1	1	1	1
0	1	0	1	1	1	1	0	1
0	1	0	1	1	1	1	1	1
1	0	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
0	0	0	1	1	1	1	0	0
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
1	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
1	0	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1
0	0	0	1	1	1	1	0	1
0	0	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
0	0	0	1	1	1	1	0	0
0	1	0	1	1	1	1	0	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	0	1	1	1	1	1	0	1
0	0	1	1	1	1	1	0	0
0	1	1	1	1	1	1	1	1
0	0	1	1	1	1	0	1	1
0	0	1	1	1	1	1	1	1
0	1	1	1	1	1	1	0	1
0	0	1	1	1	1	1	1	1
0	1	1	1	1	1	1	0	0
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	0	0
0	1	1	1	1	1	1	1	1
0	0	1	1	1	1	1	0	1
0	1	1	1	1	1	1	0	0
0	1	1	1	1	0	1	1	1
0	1	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1
0	1	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	1	1	1	1	1	0	0	0
0	1	1	1	1	1	1	1	1
0	0	1	1	1	1	1	0	1
1	1	1	1	1	1	1	1	1
0	0	1	1	1	0	1	0	0
0	0	1	0	1	1	1	0	0
0	0	1	0	0	0	1	1	0
0	0	1	0	1	0	1	0	0
0	0	1	0	1	0	1	1	1
0	0	1	1	1	0	0	0	0
0	0	1	1	1	1	1	1	0
0	0	1	0	1	1	1	0	0
0	0	1	0	1	0	0	0	0
0	0	1	0	0	0	1	0	0
0	0	1	0	1	0	1	0	0
0	0	1	1	0	0	0	0	0
0	0	1	0	0	0	1	1	0
0	0	1	1	1	0	1	0	0
0	0	1	1	1	1	1	0	0
0	0	1	0	1	0	1	0	0
0	0	1	0	1	0	1	0	1
0	1	1	1	1	0	1	0	0
0	1	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	1	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	1	1	1	1	1	1	1	1
0	1	1	1	1	1	1	1	1
0	1	1	1	1	1	1	1	1
0	1	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	0	0
0	1	1	1	1	1	1	0	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	0	1	0	0
0	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	0
0	1	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	0	1
1	1	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	0	0	0	1
0	0	1	1	1	1	1	1	1
0	1	1	1	1	1	1	1	1
0	1	1	1	1	1	1	1	1
0	0	1	1	1	1	1	0	1
0	0	1	1	1	1	1	0	1
0	0	1	1	0	0	0	0	0
0	1	1	1	1	1	1	1	1
0	1	1	1	1	1	1	0	1
0	1	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	1	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	0	0	1	0	1	0	1
0	0	0	0	1	1	1	1	1
0	1	0	1	1	1	1	0	1
0	0	0	1	1	1	1	0	1
0	0	0	1	1	1	1	1	1
1	0	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
1	0	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
1	0	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	0
0	0	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
1	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
1	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	0	0	1	1	0	1	0	0
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
1	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
0	1	1	1	1	1	1	1	1
0	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1
0	1	1	1	1	1	1	1	1
0	1	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	1	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	1	1	1	1	1	1	1	1
0	1	1	1	1	1	1	1	1
0	1	1	1	1	1	1	1	1
0	1	1	1	1	1	1	1	1
0	1	1	1	1	1	1	1	1
0	1	1	1	1	1	1	1	1
0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1
0	0	1	1	1	0	1	0	0
0	0	1	1	1	1	1	0	0
1	0	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
0	0	0	0	1	0	1	0	0
0	1	0	1	1	1	1	0	1
0	0	0	1	1	1	1	1	0
0	1	0	1	1	1	1	1	1
0	0	0	1	0	1	1	1	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
0	0	0	1	1	1	1	0	1
0	0	0	1	1	1	1	0	0
0	0	0	1	1	1	1	0	1
0	0	0	1	1	1	1	0	1
0	0	0	1	1	1	1	0	1
0	0	0	1	1	1	1	0	1
0	1	0	1	1	1	1	0	1
0	0	0	1	1	1	1	0	1
0	0	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
0	1	0	1	1	1	1	0	1
0	1	0	1	1	1	1	0	1
0	1	0	1	1	1	1	0	1
0	1	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1
0	0	1	0	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	1	1	1	1	1	1	1	1
0	0	1	1	1	1	1	0	1
0	0	1	1	1	1	1	0	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	1	1	1	1	1	1	1	1
0	1	0	1	1	1	1	0	1
1	1	0	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1
0	0	0	1	1	1	1	0	1
0	0	0	1	1	1	1	0	0
0	0	0	1	1	1	1	0	0
0	0	0	1	1	1	1	0	1
0	0	0	1	1	0	1	0	1
0	0	0	1	1	0	1	1	1
0	0	0	1	1	1	1	1	1
0	1	0	1	1	1	1	0	0
0	0	0	1	1	1	1	0	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	0	0	0	0
0	1	0	0	0	0	0	0	0
0	0	0	0	1	0	1	0	0
0	0	0	0	0	0	0	0	0
0	0	0	1	1	1	1	0	1
0	1	0	1	1	1	1	0	1
0	1	0	0	1	0	1	0	0
0	0	0	0	1	1	1	0	0
0	0	0	1	1	1	1	0	1
0	1	0	1	1	1	1	1	1
0	0	0	0	0	1	0	1	1
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	0	1
0	1	0	1	1	1	1	0	1
0	0	0	0	1	1	1	1	1
0	0	0	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	1	0	0
0	1	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	0
0	1	1	1	1	1	1	1	1
0	0	1	1	1	0	1	0	0
0	0	1	1	1	1	1	0	0
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	0	1
0	1	1	1	1	1	1	1	1
0	0	1	1	1	1	1	0	0
0	0	1	1	1	1	1	0	1
0	0	1	1	1	0	1	0	0
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	0	0
0	0	1	1	1	0	1	0	0
0	1	1	1	1	0	0	0	0
0	0	1	1	1	1	1	1	0
0	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	0	0
0	0	1	1	1	1	1	0	0
0	1	1	1	1	1	1	1	0
0	1	1	1	1	1	1	0	0
0	1	1	1	1	1	0	0	0
0	0	1	0	0	0	0	0	0
0	0	1	1	1	1	1	0	1
0	0	1	1	1	1	1	1	1
1	1	1	0	1	1	1	1	1
1	0	1	1	1	1	1	1	1
0	0	1	1	0	1	1	1	0
0	0	1	1	1	1	0	0	1
0	1	1	1	1	1	1	0	0
0	1	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	0	1	1	1	1	1
1	0	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1
0	0	1	0	1	1	1	1	1
0	0	1	1	1	0	1	0	0
